id,created_at,text
1112456597849157632,2019-03-31 20:48:16,       74               
1112456593831014402,2019-03-31 20:48:15,      - -           ... https://t.co/YCdOzXdzDm
1111595039967399937,2019-03-29 11:44:44,Watching New Zealanders of all faiths gather around #Muslims as their own confirms that #NewZealand is an example o... https://t.co/HMWqoGzPhW
1111594928340172800,2019-03-29 11:44:18,"I attended the national memorial service honoring the martyrs of the terrorist crime in #Christchurch, #NewZealand.... https://t.co/wiqkJsW27h"
1111558515208998912,2019-03-29 09:19:36,            #     https://t.co/MvZRhUxQPl
1111556443642175488,2019-03-29 09:11:22,        #         ... https://t.co/HO1coCy2he
1107758429274365953,2019-03-18 21:39:25,"3. New Zealand is a safe, peaceful and open country. The actions of the Prime Minister, the Government and the peop... https://t.co/2l4IBbeBvy"
1107758281487994880,2019-03-18 21:38:50,2 - The sympathy and solidarity around the world with Muslims as a result of the terrorist attack in New Zealand co... https://t.co/kfxZASc9kI
1107758079179919360,2019-03-18 21:38:01,1- The Custodian of the Two Holy Mosques and the Crown Prince: The heinous terrorist incident is unacceptable by r... https://t.co/6avnfg9A3Q
1107671330491650048,2019-03-18 15:53:19,3-                    
1107671107396603905,2019-03-18 15:52:26,2-                     ... https://t.co/IsRtkoStEp
1107670737882628098,2019-03-18 15:50:58,1-           :        ... https://t.co/WFHebM5dNP
1106585511295152128,2019-03-15 15:58:39,                  ... https://t.co/suQJvF9yb8
1105196542909210624,2019-03-11 19:59:24,    #              ... https://t.co/g3WpqCAnUa
1103755444466659329,2019-03-07 20:32:59,    #             ... https://t.co/5KPqsxdV5T
1100888295167455233,2019-02-27 22:39:57,4-                    ... https://t.co/DzKhrCxkAP
1100887709764194309,2019-02-27 22:37:38,3-                   ... https://t.co/axDzd4aQTw
1100883698583506944,2019-02-27 22:21:41,2-                1967  ... https://t.co/jQNUzwD3tQ
1100883331049238528,2019-02-27 22:20:14,1-            #       ... https://t.co/SE6UfVdDaB
1099674673648930816,2019-02-24 14:17:27,            @rbalsaud     ... https://t.co/dqpw0Rk0QR
1099672606133927938,2019-02-24 14:09:14,            @kbsalsaud    ... https://t.co/cJGOpd6q4d
1097946482764853253,2019-02-19 19:50:15,"HRH Crown Prince Mohammed bin Salman begins his official visit to #India, to continue working on strengthening the... https://t.co/wuGWSJsRRk"
1097943164747505667,2019-02-19 19:37:03,   #_              ... https://t.co/QGY5QQZMXt
1097152261342531585,2019-02-17 15:14:17,"HRH Crown Prince starts his tour to Pakistan, a country that we have historic ties with. This visit will expand the... https://t.co/QYjfcPvJiO"
1097151657748692992,2019-02-17 15:11:53,   #_             ... https://t.co/Mj2YCtFpqO
1096159882984804353,2019-02-14 21:30:56,  #               
1096159506030051333,2019-02-14 21:29:26,  #                 ... https://t.co/GtcklKmkKA
1093448043645538307,2019-02-07 09:55:03,          2014   12        ... https://t.co/MrkCu1Z76a
1093447211613110273,2019-02-07 09:51:45,                  ... https://t.co/EG8ugZGbTO
1087827623554805765,2019-01-22 21:41:30,         @khalidalkhalifa    #   ..  ... https://t.co/1RjP7hvFXk
1087822191834603520,2019-01-22 21:19:55,            @khalidalkhalifa    #  ... https://t.co/NBDEA9ZCyE
1085951774756950016,2019-01-17 17:27:33,            #  ... https://t.co/RmOC1CszOT
1085951076526948353,2019-01-17 17:24:47,   #            @ABZayed   ... https://t.co/CM6TDOZN4A
1084774177524068352,2019-01-14 11:28:12,      @SecPompeo          ... https://t.co/FrAqwBZXw6
1084567525059379201,2019-01-13 21:47:02,      @SecPompeo         ... https://t.co/1sJu2fRVJU
1078317047438815235,2018-12-27 15:49:52,                
1078315801931857920,2018-12-27 15:44:55,            - -    ... https://t.co/9CPBMNcCWN
1076518734469234688,2018-12-22 16:44:01,     #__  #_       ... https://t.co/B26vhAUhAv
1074383676392251394,2018-12-16 19:20:04,@khalidalkhalifa #         - -     ... https://t.co/a0rNLm7YCG
1074379207432699905,2018-12-16 19:02:18,"RT @KSAMOFA: 
 ..  

#__ https://t.co/JGLBfsjz4W"
1074375031625523200,2018-12-16 18:45:43,    #              ... https://t.co/MyKpphcLkm
1074374390287093763,2018-12-16 18:43:10,"RT @KSAMOFA:  #_      ..      
#_   https://..."
1073731032883568640,2018-12-15 00:06:41,"RT @KSAmofaEN: FM @AdelAljubeir: ""The implementation of the #Stockholm Agreement will be an important step towards reaching a political sol..."
1073731024142721024,2018-12-15 00:06:39,"RT @KSAmofaEN: FM @AdelAljubeir: ""The Kingdom, under the leadership of the Custodian of the Two Holy Mosques, @KingSalman, and the Crown Pr..."
1073731016999743488,2018-12-15 00:06:38,"RT @KSAmofaEN: FM @AdelAljubeir: ""Crown Prince Mohammed bin Salman has made great personal efforts to make the negotiations in #Stockholm a..."
