id,created_at,text
1114687741659316225,2019-04-07 00:34:02,"Toronto dreams big! The @Raptors are empowering local kids through basketball, so they can succeed &amp; dream even big... https://t.co/9p77kYtiQK"
1114687670951776256,2019-04-07 00:33:45,"Toronto reve grand! Les @Raptors valorisent les enfants de leur communaute avec le basketball, pour qu'ils puissent... https://t.co/bIa4nSY2ur"
1114686497486192640,2019-04-07 00:29:05,RT @Raptors: Honoured to be joined by Prime Minister @JustinTrudeau and the Minister of Immigration @HonAhmedHussen today at the OVO Athlet...
1114684954598891521,2019-04-07 00:22:57,RT @HonAhmedHussen: Thank you @Raptors for hosting us today. Your continuous support of Toronto's youth is making a real difference in our...
1114661409781108737,2019-04-06 22:49:24,RT @CBCNews: LIVE: Memorial service marking 1 year since #HumboldtBroncos bus crash https://t.co/i1jtcf77AA
1114659611519401984,2019-04-06 22:42:15,"RT @TSN_Sports: ON NOW: The city of Humboldt marks one year since the fatal Broncos bus crash with a memorial service, paying tribute to th..."
1114657508935778304,2019-04-06 22:33:54,"Oh baby! What a career. For half a century, Bob Cole was the voice of hockey in Canada and made the game even more... https://t.co/dtlr7BTq37"
1114657502321434624,2019-04-06 22:33:52,"Oh baby! Quelle carriere! Pendant un demi-siecle, Bob Cole a ete la voix du hockey au Canada et a rendu le match en... https://t.co/urCZ9jMtRi"
1114646977113993217,2019-04-06 21:52:03,"Together, we are #HumboldtStrong. Watch this powerful tribute to the 16 lives lost one year ago today: https://t.co/6xEVC63imn"
1114646871442694144,2019-04-06 21:51:37,"Ensemble, nous sommes unis pour #Humboldt. Regardez l'hommage poignant rendu aux 16 vies que nous avons perdues il... https://t.co/2pAIl4EpFv"
1114537753344192514,2019-04-06 14:38:02,Big news for families in Toronto: yesterday we announced the largest investment in municipal housing in Canadian hi... https://t.co/H3q1eoIAvY
1114537400519352322,2019-04-06 14:36:38,Bonne nouvelle pour les Torontois: nous avons annonce le plus important investissement dans le logement municipal d... https://t.co/SntSJbwbz9
1114531913803419648,2019-04-06 14:14:49,"RT @RalphGoodale: One year ago today, a terrible highway crash devastated the #HumboldtBroncos. Our hearts ache for the 16 lives that were..."
1114531899186274305,2019-04-06 14:14:46,"RT @RalphGoodale: Il y a un an aujourdhui, un terrible accident dautoroute a devaste les #HumboldtBroncos. Nos coeurs souffrent pour les..."
1114527191935660032,2019-04-06 13:56:04,"My thanks to Tom Reid of @IBEWCanada for the call yesterday. Our government has electrical workers backs, and wer... https://t.co/ZNYNwx3FgC"
1114527190375444481,2019-04-06 13:56:03,"Canadian workers have built our country, and theyre building our future. I had a good call with Lionel Railton of... https://t.co/yI7fpFaPz5"
1114527011920392193,2019-04-06 13:55:21,Merci a Tom Reid de la @IBEWCanada pour lappel dhier. Notre gouvernement est derriere les ouvriers en electricite... https://t.co/PCnAdszBuo
1114527010460786689,2019-04-06 13:55:20,"Les travailleurs canadiens ont bati notre pays, et ils batissent notre avenir. Hier, jai eu une bonne discussion a... https://t.co/WiSjgAG4mx"
1114500946053206016,2019-04-06 12:11:46,"One year ago, Canada grieved as the Humboldt community faced incredible tragedy. Today, we remember the Humboldt Br... https://t.co/CHLQ8yC2c1"
1114500809092403202,2019-04-06 12:11:13,"Il y a un an, le Canada etait en deuil avec la communaute de Humboldt apres une incroyable tragedie. Aujourd'hui, o... https://t.co/8bdLm8r5XB"
1114321672759332864,2019-04-06 00:19:24,"Canadians are appalled by Bruneis new penal code that will target women, the LGBTQ2 community &amp; other minority gro... https://t.co/L44el880hk"
1114321544166158336,2019-04-06 00:18:53,"Nous sommes consternes par le nouveau code penal de Brunei ciblant les femmes, les LGBTQ2 et dautres minorites et... https://t.co/FkZ7JAv1l3"
1114314630141231104,2019-04-05 23:51:25,Investing in affordable housing is about giving everyone a real &amp; fair chance at success. Today we announced a hist... https://t.co/1zneyHGkWR
1114314533760319493,2019-04-05 23:51:02,"Investir dans le logement abordable, c'est donner a tous une chance reelle et egale de reussir. Grace a linvestiss... https://t.co/QoCXgcr9pd"
1114312224275927040,2019-04-05 23:41:51,"RT @HonAhmedHussen: Affordable housing helped me and many others pursue their dreams &amp; go to University.

Everyone should have a roof over..."
1114312206131367936,2019-04-05 23:41:47,"RT @HonAhmedHussen: Le logement abordable m'a aide et beaucoup d'autres personnes a poursuivre leurs reves et daller a l'universite.

Tout..."
1114311465996095488,2019-04-05 23:38:51,RT @FCM_online: Important news for social housing in Toronto. Todays announcement demonstrates how the federal-municipal partnership can g...
1114270444851466240,2019-04-05 20:55:50,"Yesterday I spoke with @JunckerEU. Thanks for the call, Jean-Claude, and for the conversation on trade, and the imp... https://t.co/5UCfsI1WPv"
1114270443765157888,2019-04-05 20:55:50,Good phone call this morning with @eucopresident Tusk on our shared commitment to respecting the rule of law and pr... https://t.co/XPsZQESZXl
1114270319466954752,2019-04-05 20:55:20,"Hier, je me suis entretenu avec @JunckerEU. Merci pour l'appel, Jean-Claude, et pour la conversation sur le commerc... https://t.co/qingoyqffi"
1114270318607196161,2019-04-05 20:55:20,Bon entretien telephonique ce matin avec l@eucopresident Tusk sur notre engagement commun a respecter la primaute... https://t.co/3sYutX0Xnr
1114258198746288129,2019-04-05 20:07:11,RT @TOAdamVaughan: Today we announced a historic $1.3 billion to repair Toronto's community housing units. We are stepping up and working w...
1114255519529807872,2019-04-05 19:56:32,RT @JohnTory: Joining Prime Minister @JustinTrudeau &amp; Minister @JYDuclos in Scarborough to announce a new $1.3 billion partnership with the...
1114254956968722433,2019-04-05 19:54:18,RT @Bill_Morneau: The new First-Time Home Buyer Incentive will reduce the cost of purchasing a home by up to 10%. By making it possible for...
1114254941588205568,2019-04-05 19:54:14,RT @Bill_Morneau: Le nouvel incitatif a l'achat d'une premiere propriete fera baisser le cout de l'accession a la propriete de juqua 10%....
1114184648328871936,2019-04-05 15:14:55,RT @PattyHajdu: Attention all young Canadians! The Youth Video Challenge has begun. Share a video telling us why you are #InspiredToServe f...
1114184627462320131,2019-04-05 15:14:50,RT @PattyHajdu: Attention a tous les jeunes Canadiens! Le Defi video du Sommet est commence. Partagez une video ou vous nous dites pourquoi...
1114182352861835266,2019-04-05 15:05:48,"RT @HarjitSajjan: 70 years ago today, Canada was among the 12 countries that gathered in Washington to sign the treaty that formed @NATO. S..."
1114182331458310145,2019-04-05 15:05:42,"RT @HarjitSajjan: Il y a 70 ans, le Canada etait des 12 pays reunis a Washington pour signer le traite qui formant lOTAN. Depuis, nous avo..."
1114179534369316866,2019-04-05 14:54:36,Entrepreneurs &amp; workers in Saguenay-Lac-Saint-Jean are world renowned for their innovation &amp; bright ideas. Last nig... https://t.co/FYUGtKSbmE
1114179497274880001,2019-04-05 14:54:27,Les entreprises et travailleurs du Saguenay-Lac-Saint-Jean sont reputes pour leur innovation et leurs bonnes idees.... https://t.co/a7Nf8RESi0
