id,created_at,text
1106661216766836736,2019-03-15 20:59:29,                 ... https://t.co/BnnRYgZrah
1043909986156507136,2018-09-23 17:08:30,"             .
   ... https://t.co/ZQMPTSjk4t"
1031849533054099456,2018-08-21 10:24:34,                    ... https://t.co/yYJH2aCKk9
1007469715017601024,2018-06-15 03:47:52,                    ... https://t.co/e9HF2Ui7KN
996786916501712897,2018-05-16 16:18:14,                   ... https://t.co/74qNjktwUc
985860796965163008,2018-04-16 12:41:45,      #_     24       ... https://t.co/tEQKewfD8y
985456546606960642,2018-04-15 09:55:24,       #_        ... https://t.co/6HGCOVQFEJ
911578216594313218,2017-09-23 13:09:17,               .
903468921113554944,2017-09-01 04:05:51,                         .
878824719457406978,2017-06-25 03:58:35,                   .
868511408698388480,2017-05-27 16:57:10,"I wish you a blessed Ramadan. Praying to Allah to protect our country, Muslim nations, &amp; the world from all evil."
868511009853644800,2017-05-27 16:55:35,                     .
866233575275995136,2017-05-21 10:05:52,                 
865875516334772224,2017-05-20 10:23:04,"We welcome @POTUS Trump to KSA. Mr. President, your visit will strengthen our strategic cooperation, lead to global security and stability."
865873127749951488,2017-05-20 10:13:35,    @POTUS  .         .
847439762961182720,2017-03-30 13:25:58,  @KingAbdullahII                .
843190478094917632,2017-03-18 20:00:50,                  .
807547031552147456,2016-12-10 11:26:30,                      .
779400296686620673,2016-09-23 19:21:25,            .        .
775204671648595968,2016-09-12 05:29:30,                    
750545229888032769,2016-07-06 04:21:41,                    .
739538678209511424,2016-06-05 19:25:35,                 .
720672037941944320,2016-04-14 17:56:17,                   .
718125462115991552,2016-04-07 17:17:06,                    .
708282570794999808,2016-03-11 13:24:58,We are proud of our solidarity in #North_Thunder; showing the world our joint resolve in deterring evil and fighting extremism &amp; terrorism.
708282038625951744,2016-03-11 13:22:51,     #_             .
675013746608234496,2015-12-10 18:06:32,                      
665642882125209601,2015-11-14 21:30:04,Paris massacre is an act of terrorism that has no religion. My deep condolences to the people of France. World must unite against terrorism.
665642030970904576,2015-11-14 21:26:41,Toutes mes condoleances au peuple francais.Le terrorisme n'a pasde religion.J'appelle a nouveau le monde a renforcer la lutte antiterroriste
665607895476789249,2015-11-14 19:11:03,       .    .          
665554681637285889,2015-11-14 15:39:36,"    @RT_Erdogan        "" ""    ."
664487531040346112,2015-11-11 16:59:07,                   .
646904899754659840,2015-09-24 04:32:01,                     .
642832471671762944,2015-09-12 22:49:39,     ()    .             
621905863070998528,2015-07-17 04:54:46,                   .
611546160784875520,2015-06-18 14:49:01,         .            .
595295178342076417,2015-05-04 18:33:25,                    .
575389874854830081,2015-03-10 20:16:51,                 .
562275906488516609,2015-02-02 15:46:37,                     
560910747178250240,2015-01-29 21:21:58,   :                    .
560183091788918784,2015-01-27 21:10:31,King Salman welcomes President @BarackObama today in Riyadh. http://t.co/gC8v9R4Tpx
560182592901615616,2015-01-27 21:08:32,A pleasure to host President @BarackObama We discussed our nations' historic ties &amp; strategic partnership to support world peace.
560179292902936576,2015-01-27 20:55:25,              . http://t.co/EXctEGljVt
558534002072485888,2015-01-23 07:57:37,                    .
558533080827179008,2015-01-23 07:53:58,               .
557275253437501441,2015-01-19 20:35:48,               . http://t.co/3huMuM17xm
