id,created_at,text
1114693803301117952,2019-04-07 00:58:07,RT @Scavino45: President @realDonaldTrump returns to the @WhiteHouse after two busy and productive days in California and Nevada. #BehindTh...
1114649265123549184,2019-04-06 22:01:08,"Financial literacy empowers Americans of any age to make smart financial decisions, plan for prosperity, and fully... https://t.co/q1wFBTiwr7"
1114626356049006594,2019-04-06 20:30:06,"In 2018, companies repatriated over half a TRILLION dollars held overseas  https://t.co/sewvNpVTQX"
1114606452704985090,2019-04-06 19:11:01,Now that's what an economic recovery looks like... https://t.co/sewvNpVTQX https://t.co/yG7CpAJ7Dr
1114592367082901506,2019-04-06 18:15:03,"Once again, the U.S. economy BOOMED in March:
3.8% unemployment rate
196,000 jobs added
3.3% women's unemploymen... https://t.co/TjCeMGmOc7"
1114560365860462592,2019-04-06 16:07:53,"RT @realDonaldTrump: .... against something I knew never existed, Collusion with Russia (so ridiculous!) - No Obstruction. This Russia Hoax..."
1114560335728586759,2019-04-06 16:07:46,"RT @realDonaldTrump: So, lets get this straight! There was No Collusion and in fact the Phony Dossier was a Con Job that was paid for by C..."
1114559896366854144,2019-04-06 16:06:01,An overwhelming surge in illegal immigration is worsening the crisis at our border. https://t.co/wVby5B1zfx https://t.co/66YXxULtta
1114543884405751810,2019-04-06 15:02:23,"RT @realDonaldTrump: .....years and $30 million, and they found No Collusion, No Obstruction. But the Democrats, no matter what we give the..."
1114543860338843648,2019-04-06 15:02:18,"RT @realDonaldTrump: I have not read the Mueller Report yet, even though I have every right to do so. Only know the conclusions, and on the..."
1114543805162770433,2019-04-06 15:02:05,RT @realDonaldTrump: Collusion was a Hoax from day one. @dbongino  @foxandfriends
1114543781741723650,2019-04-06 15:01:59,"RT @realDonaldTrump: The lowest average jobs number for any President since 1951, 4.1%. Economy doing great. If the Democrats win, it is a..."
1114533769489285120,2019-04-06 14:22:12,A secure border means a safer America. https://t.co/aZ9tLLMOPx
1114338939819655168,2019-04-06 01:28:01,"RT @realDonaldTrump: THANK YOU @DHSgov, @CBP, and @ICEgov! https://t.co/BzNwKoUJlg"
1114291076976848897,2019-04-05 22:17:49,RT @realDonaldTrump: Just checked out the new Wall on the Border - GREAT! Leaving now for L.A.
1114287678953000960,2019-04-05 22:04:19,The numbers speak for themselves. Walls work. https://t.co/u2RC23I4Ok
