id,created_at,text
1114031087192121344,2019-04-05 05:04:43,"    ,          . 
      .     ... https://t.co/GiXPOjipdO"
1113815686315266054,2019-04-04 14:48:47,"      .
            .       ... https://t.co/EoSdXc9N6j"
1113768140704325634,2019-04-04 11:39:52,"     .
     ,    
       .    ... https://t.co/YTgCr4TDFq"
1113263845391294464,2019-04-03 02:15:58, 4.3       .    .             ... https://t.co/e0673GFPJK
1112547550337196032,2019-04-01 02:49:40,"       .               .   ,  ... https://t.co/eaUztD0sDp"
1110517052807114752,2019-03-26 12:21:12,"I am grateful to Belgium for our long-lasting friendship, and I hope that our two countries will also work together... https://t.co/ZbD6ewNJhh"
1110456695170318336,2019-03-26 08:21:22, .   118 .        100     .       ... https://t.co/P1QKgVrYUJ
1110071670809620480,2019-03-25 06:51:25,  3    .        .           .... https://t.co/gBNZNFo9rv
1108952346577403904,2019-03-22 04:43:37,"' '.           . 2     ,  46    ... https://t.co/vvYBseu3yi"
1108722001793810434,2019-03-21 13:28:18,"@jack @TheBlueHouseKR The spirit of Its okay to fail led to the success of Twitter, and we must learn the spirit... https://t.co/Z0LkH2MV1O"
1108721915043078147,2019-03-21 13:27:58,@jack @TheBlueHouseKR I had a conversation about communication and innovation with Twitter founder @jack today. I s... https://t.co/K9wtJhz6fV
1108720094320812032,2019-03-21 13:20:44,@jack @TheBlueHouseKR  @jack  CEO      .         .    ... https://t.co/bPf0oy3S2U
1108328482390446080,2019-03-20 11:24:36,@jack   .            .      .
1108328372256432129,2019-03-20 11:24:10,"Welcome to Korea, @jack! Thank you for creating a communication platform where everyone can voice out their opinion... https://t.co/9BndCo6OLr"
1107866706259533826,2019-03-19 04:49:40,"     , ,    .         .     ... https://t.co/TG8qaGcHzd"
1106866051155779585,2019-03-16 10:33:25,"Standing before Angkor Wat, my respect for the Cambodian people has deepened further still. Angkor Wat is Cambodia... https://t.co/PG9ahgASyX"
1106817192333500416,2019-03-16 07:19:16,"    . ' '   .
            . https://t.co/XbKIIkpVCk"
1106518442893430785,2019-03-15 11:32:09,"             .
   ,        @jacindaardern ... https://t.co/cyAdHiPTYI"
1106096013427666949,2019-03-14 07:33:34,"I am very grateful to His Majesty Sultan Abdullah Sultan Ahmad Shah, the Malaysian people, and Prime Minister Mahat... https://t.co/FjOTqEZJI3"
1106070489905020928,2019-03-14 05:52:09,"      .    .  ,     @chedetofficial    ... https://t.co/sVzEbAyABt"
1106069801611333633,2019-03-14 05:49:25,"   60 .   ,    .  1            .... https://t.co/y9YhDoZGaz"
1105463626347929600,2019-03-12 13:40:41,"  .           . 
      .   ... https://t.co/LvlmRNtb8U"
1105325030102036480,2019-03-12 04:29:57,"Im leaving for Malaysia from Brunei, the destination for my first overseas tour and state visit of the year. The p... https://t.co/13B6HJgq9E"
1105281218730323968,2019-03-12 01:35:52,       .        .       .  ... https://t.co/K5q1nj4TNx
1104609257582780417,2019-03-10 05:05:44,"     3 .          .     30 , 11 -  ... https://t.co/bNjyHgRzVp"
1103884276691419136,2019-03-08 05:04:55,"   . 111  ,             . 
     ... https://t.co/zyLpNyzYaA"
1103809517958004736,2019-03-08 00:07:51,"""    !""

'2019    '  3 11 .    , 12  159   . ... https://t.co/6YcKnEe23F"
1103194828790099969,2019-03-06 07:25:18,"      ,     .       .     ,  ... https://t.co/c6iypzo9gO"
1102845672573722629,2019-03-05 08:17:52,"       
    73  
   .
    
   ... https://t.co/vOUeRQljE3"
1102772800287236103,2019-03-05 03:28:18,"     . 
  ,         .       ... https://t.co/3sLzEDDM4e"
1102480437727752192,2019-03-04 08:06:34,"    . 
2     ,            . https://t.co/GuCkHNISZA"
1101350163073794054,2019-03-01 05:15:15,"3.1      .
     .
      ,    ... https://t.co/ld57uwHNNa"
1100303226597892096,2019-02-26 07:55:06,     .  3.1  100   100 .  100         ... https://t.co/gHhig4prdK
1099966592106950657,2019-02-25 09:37:26,"            .              , ... https://t.co/FrgD0jCcy4"
1099966257435045893,2019-02-25 09:36:06,    .            .         ... https://t.co/We2jzmJDbi
1099113224371204097,2019-02-23 01:06:27,"Prime Minister Modi paid a state visit to Korea as the first such guest of this year, bringing with him all the war... https://t.co/od1XUvVtrX"
1099112799907676160,2019-02-23 01:04:46,"         .          .
  .    . https://t.co/ww9UWE6tCV"
1099112538547970048,2019-02-23 01:03:44," @narendramodi          .           .
   ... https://t.co/xfEvshP9rO"
1098450227575439361,2019-02-21 05:11:57,"       ,
       .
        
      .... https://t.co/wnTkVZvTMt"
1098145506646056960,2019-02-20 09:01:05,"       .
                   . https://t.co/1SbIOXNEyn"
1098115047308447744,2019-02-20 07:00:03,"""    , 
    ."" 
100 ,    3.1 . 
        . 
... https://t.co/j805za1nA8"
1097755389762842626,2019-02-19 07:10:54,"    20, 
     . 
  ' '  . 
     ... https://t.co/N1LSkCedCN"
1097426916942868480,2019-02-18 09:25:40," .       .      1    . 

   ,    ... https://t.co/4K0FIqx6aQ"
1097426775963983872,2019-02-18 09:25:07,"         .          . ""      ... https://t.co/ag1zHhBcHi"
1097396585778995201,2019-02-18 07:25:09,"                    . 
    ... https://t.co/nSFFySAeyS"
1097396228449390592,2019-02-18 07:23:44,"&lt;5.18  ,      &gt;    4.19, , 5.18, 6.10    ,  ... https://t.co/cbOnEIRnSu"
1096284848065413120,2019-02-15 05:47:30,"       .      . 
   ,  .   ... https://t.co/axcNOjJyUF"
1095952529668530176,2019-02-14 07:46:59,"   .
 ,     ,
       . 
,    ,  . 
 ... https://t.co/rtvpqOVxer"
1095573889944440832,2019-02-13 06:42:24,"  .     ,       .      .     ... https://t.co/4q0fmlnbPO"
1094138277060239361,2019-02-09 07:37:48,       .  4               ... https://t.co/1RIuvmWdWU
1094137820027863040,2019-02-09 07:35:59,"  ,   1,218    .   ,            . https://t.co/vBif6nXRbv"
1093660683122561025,2019-02-08 00:00:00,"100  , 600      YMCA .     .      ... https://t.co/56nD2GAFcm"
1093345422033137665,2019-02-07 03:07:16,"   .   ,       .        . ... https://t.co/1lhK2OCDlU"
